TRADE LOOPS (534 total trades):

239-LEMIN from Amnese             receives 349-TRIUM from aaronseeber
289-WRING from revgiblet          receives 516-WORLD from Jabroney
516-WORLD from Jabroney           receives 446-REEFE from Ozludo
446-REEFE from Ozludo             receives 827-HOMES from ausminstrel
827-HOMES from ausminstrel        receives 320-MACHU from sbszine
320-MACHU from sbszine            receives $50.0 from prd1982
$50.0 from prd1982                receives 808-CONTA from Ozludo
808-CONTA from Ozludo             receives 929-ANTLR from Tyndal
929-ANTLR from Tyndal             receives 335-NEURO from randomninja
335-NEURO from randomninja        receives 578-NASAL from Tyndal
578-NASAL from Tyndal             receives $50.0 from Peptis
$50.0 from Peptis                 receives 216-LONDN from Scholle
216-LONDN from Scholle            receives $50.0 from Croup and Vandemar
$50.0 from Croup and Vandemar     receives 842-RFTGY from Alex Brown
842-RFTGY from Alex Brown         receives 293-CCANC from Lucky Phil
293-CCANC from Lucky Phil         receives 432-HEROS from intheclear
432-HEROS from intheclear         receives 206-DLORD from Scholle
206-DLORD from Scholle            receives 631-IMPER from MrBaggy
631-IMPER from MrBaggy            receives 087-ADVEN from Dr Corey
087-ADVEN from Dr Corey           receives 136-OZOOL from smittenkitten
136-OZOOL from smittenkitten      receives 520-INKOG from tiggers
520-INKOG from tiggers            receives 371-KEYTH from Amiguero
371-KEYTH from Amiguero           receives 010-TROYE from Thiessi
010-TROYE from Thiessi            receives $55.0 from hxbx
$55.0 from hxbx                   receives 316-STRUG from squire
316-STRUG from squire             receives 242-PHANT from wilderness
242-PHANT from wilderness         receives 902-KBURG from tiggers
902-KBURG from tiggers            receives 366-CHINA from da pyrate
366-CHINA from da pyrate          receives 512-TWODE from prd1982
512-TWODE from prd1982            receives 001-PANZY from srand
001-PANZY from srand              receives 616-RUNEB from trif
616-RUNEB from trif               receives 342-PRIME from Friendless
342-PRIME from Friendless         receives 275-VILLA from ateh
275-VILLA from ateh               receives 577-TOBAG from Tyndal
577-TOBAG from Tyndal             receives 085-STONE from Dr Corey
085-STONE from Dr Corey           receives 667-THUND from rktboy
667-THUND from rktboy             receives 522-SWARM from tiggers
522-SWARM from tiggers            receives 461-PTMAR from Patriachakai
461-PTMAR from Patriachakai       receives 112-NAPOL from petegs
112-NAPOL from petegs             receives 141-WWBOM from ChrisPayne
141-WWBOM from ChrisPayne         receives 247-SOUND from petegs
247-SOUND from petegs             receives 736-RENAI from snog

197-DITDK from prd1982            receives 586-SUNDA from Patriachakai
586-SUNDA from Patriachakai       receives 414-LIBNT from PBrennan
414-LIBNT from PBrennan           receives 884-CELTI from Phil81
884-CELTI from Phil81             receives 752-CITAD from fFish
752-CITAD from fFish              receives 137-MYKER from smittenkitten
137-MYKER from smittenkitten      receives 016-KINGS from Unhalfbricking
016-KINGS from Unhalfbricking     receives $15.0 from cyberkev63
$15.0 from cyberkev63             receives 227-MYTHO from da pyrate
227-MYTHO from da pyrate          receives 783-TEAST from Karlsen
783-TEAST from Karlsen            receives 378-FALSH from PBrennan
378-FALSH from PBrennan           receives 571-TERRA from Tyndal
571-TERRA from Tyndal             receives 990-MEDIC from ludopoly
990-MEDIC from ludopoly           receives 518-AQUAR from tiggers
518-AQUAR from tiggers            receives 361-TEAMM from damnyouhussies
361-TEAMM from damnyouhussies     receives 933-DUCKG from Tyndal
933-DUCKG from Tyndal             receives 838-MARIO from Amiguero
838-MARIO from Amiguero           receives 930-MONKY from mr_lunch
930-MONKY from mr_lunch           receives 197-DITDK from prd1982

ITEM SUMMARY (534 total trades):

$10.0 from Lucky Phil             receives 917-SNAKE from mr_lunch           and sends to 1010-DWEED from nnf1
$10.0 from cyberkev63             receives 467-NINJA from Patriachakai       and sends to 584-DLBUN from Tyndal
$12.0 from Jagged Tooth Grin      receives 584-DLBUN from Tyndal             and sends to 066-WHEXP from Hida Mann
$15.0 from Damhsa_Roisin          receives 600-BOHNA from actionman          and sends to 882-PARAD from Phil81
$15.0 from Lucky Phil             receives 515-ALCHE from Jabroney           and sends to 1031-LRTCG from nnf1
$15.0 from Lucky Phil             receives 533-GETBT from tiggers            and sends to 1029-VOAUF from nnf1
$15.0 from Moose_Head             receives 146-TURNT from thepackrat         and sends to 870-PROMO from Phil81
$15.0 from cyberkev63             receives 031-BOOTY from revgiblet          and sends to 084-TURRI from Unhalfbricking
$15.0 from cyberkev63             receives 227-MYTHO from da pyrate          and sends to 016-KINGS from Unhalfbricking
$15.0 from cyberkev63             receives 656-EATEN from rktboy             and sends to 865-HTMYF from Phil81
$15.0 from cyberkev63             receives 673-OASIS from srand              and sends to 888-UPTWN from Phil81
$15.0 from cyberkev63             receives 829-RISAD from ausminstrel        and sends to 083-KENSI from Unhalfbricking
$18.0 from Lucky Phil             receives 856-DELTA from Phil81             and sends to 1005-SLAPS from nnf1
$20.0 from Aneirin                receives 682-QUEEN from Friendless         and sends to 556-CCARD from gmcnish
$20.0 from Croup and Vandemar     receives 032-CUTTC from revgiblet          and sends to 962-BEANS from cyberkev63
$20.0 from Moose_Head             receives 433-MASON from intheclear         and sends to 988-WORDO from cyberkev63
$20.0 from Ozludo                 receives 888-UPTWN from Phil81             and sends to 029-WOLSG from Unhalfbricking
$20.0 from Phil81                 receives 127-OCEAN from smittenkitten      and sends to 963-BREAK from cyberkev63
$20.0 from cyberkev63             receives 1005-SLAPS from nnf1              and sends to 861-ULYSS from Phil81
$20.0 from cyberkev63             receives 298-GENOA from Mikey              and sends to 676-SMART from Friendless
$20.0 from cyberkev63             receives 540-MEGAC from Ykikamucow         and sends to 687-HMSTR from Friendless
$20.0 from cyberkev63             receives 671-NEXUS from srand              and sends to 345-ROBOT from Friendless
$20.0 from cyberkev63             receives 924-MAXIM from mr_lunch           and sends to 682-QUEEN from Friendless
$20.0 from dlow                   receives 537-BLOOD from da pyrate          and sends to 560-SPIGS from gmcnish
$25.0 from Damhsa_Roisin          receives 254-FAMIL from TorbenVang         and sends to 1023-HEIML from nnf1
$25.0 from Tyndal                 receives 669-DCJOU from zerogeek           and sends to 319-PANIC from ianwright
$25.0 from cyberkev63             receives 313-BIBLI from squire             and sends to 494-MASON from Friendless
$25.0 from cyberkev63             receives 627-REPUB from trif               and sends to 203-CCNOR from Scholle
$25.0 from cyberkev63             receives 652-DESCE from zerogeek           and sends to 681-TERRA from Friendless
$25.0 from cyberkev63             receives 746-DOMIN from fFish              and sends to 251-SHEAR from red turtle
$25.0 from dlow                   receives 021-LABYR from revgiblet          and sends to 127-OCEAN from smittenkitten
$25.0 from dlow                   receives 038-STSCR from red turtle         and sends to 1032-WINGS from nnf1
$25.0 from srand                  receives 681-TERRA from Friendless         and sends to 1008-CBALL from nnf1
$30.0 from Alex Brown             receives 006-NEXUS from fateswanderer      and sends to 1002-FDMIN from nnf1
$30.0 from Alex Brown             receives 848-WOWDS from TumbleSteak        and sends to 497-GOLDB from Friendless
$30.0 from Croup and Vandemar     receives 301-PANIC from Amiguero           and sends to 498-TENCO from Friendless
$30.0 from cyberkev63             receives 385-SIDME from PBrennan           and sends to 710-ADUCT from Scholle
$30.0 from gmcnish                receives 497-GOLDB from Friendless         and sends to 1020-ASHIP from nnf1
$30.0 from intheclear             receives 022-RACEY from Unhalfbricking     and sends to 810-HAPEN from Ozludo
$30.0 from red turtle             receives 853-SWARS from TumbleSteak        and sends to 956-BALLC from cyberkev63
$30.0 from srand                  receives 008-TWIST from Thiessi            and sends to 573-MICRO from Tyndal
$30.0 from srand                  receives 491-SCOTS from Paul65             and sends to 574-SAMUR from Tyndal
$35.0 from Critical Mass          receives 370-THEBE from Amiguero           and sends to 341-HORSE from Friendless
$35.0 from Mark_Owen_Reich        receives 984-RUNEA from wilderness         and sends to 485-PRICO from Friendless
$35.0 from Tyndal                 receives 697-ARKDH from Amnese             and sends to 805-SCYRD from batcut
$35.0 from anomander64            receives 319-PANIC from ianwright          and sends to 090-CCARD from smittenkitten
$35.0 from kathyb                 receives 1035-FINCA from Aneirin           and sends to 984-RUNEA from wilderness
$40.0 from Dr Corey               receives 957-PROPH from psmaylott          and sends to 770-DOMIN from batcut
$40.0 from randomninja            receives 635-PFLOR from MrBaggy            and sends to 006-NEXUS from fateswanderer
$40.0 from red turtle             receives 219-PACKS from Scholle            and sends to 313-BIBLI from squire
$40.0 from red turtle             receives 276-BLORE from ateh               and sends to 304-HAPPY from squire
$40.0 from tiggers                receives 636-STRAS from MrBaggy            and sends to 092-EAGLE from smittenkitten
$45.0 from Ozludo                 receives 922-SAMAR from sysyphus           and sends to 198-PWRGR from prd1982
$45.0 from hxbx                   receives 145-WAYOW from petegs             and sends to 932-BOMBY from batcut
$45.0 from hxbx                   receives 166-MACAO from snog               and sends to 692-TTREU from pusboyau
$45.0 from hxbx                   receives 855-YSTAR from Phil81             and sends to 501-ARKEM from Friendless
$50.0 from Croup and Vandemar     receives 842-RFTGY from Alex Brown         and sends to 216-LONDN from Scholle
$50.0 from Peptis                 receives 216-LONDN from Scholle            and sends to 578-NASAL from Tyndal
$50.0 from Peptis                 receives 771-ENDEA from batcut             and sends to 220-PCOVE from Scholle
$50.0 from prd1982                receives 808-CONTA from Ozludo             and sends to 320-MACHU from sbszine
$50.0 from randomninja            receives 595-THUND from Damhsa_Roisin      and sends to 905-PRESI from Thiessi
$55.0 from hxbx                   receives 316-STRUG from squire             and sends to 010-TROYE from Thiessi
$60.0 from Tyndal                 receives 591-STREK from rktboy             and sends to 314-SILNT from squire
001-PANZY from srand              receives 616-RUNEB from trif               and sends to 512-TWODE from prd1982
002-ARKEM from srand                          does not trade
003-DOMIN from srand                          does not trade
006-NEXUS from fateswanderer      receives $40.0 from randomninja            and sends to $30.0 from Alex Brown
007-PIZZA from fateswanderer                  does not trade
008-TWIST from Thiessi            receives 251-SHEAR from red turtle         and sends to $30.0 from srand
010-TROYE from Thiessi            receives $55.0 from hxbx                   and sends to 371-KEYTH from Amiguero
011-RAILR from Unhalfbricking     receives 567-CASHS from Oiler              and sends to 652-DESCE from zerogeek
012-NOJOE from Unhalfbricking                 does not trade
013-ROMAN from Unhalfbricking     receives 593-LOTRC from Damhsa_Roisin      and sends to 020-DREAM from revgiblet
014-BLUCT from revgiblet          receives 439-VEGAS from Ozludo             and sends to 633-NUNNY from MrBaggy
015-CONQE from revgiblet                      does not trade
016-KINGS from Unhalfbricking     receives $15.0 from cyberkev63             and sends to 137-MYKER from smittenkitten
017-FIELD from revgiblet          receives 646-PRICO from thepackrat         and sends to 636-STRAS from MrBaggy
018-FRTAM from revgiblet                      does not trade
019-CLIPP from Unhalfbricking                 does not trade
020-DREAM from revgiblet          receives 013-ROMAN from Unhalfbricking     and sends to 515-ALCHE from Jabroney
021-LABYR from revgiblet          receives 437-MEMOR from anomander64        and sends to $25.0 from dlow
022-RACEY from Unhalfbricking     receives 519-FUNNY from tiggers            and sends to $30.0 from intheclear
023-MAGES from revgiblet          receives 297-SIDSX from Mikey              and sends to 195-CRURX from prd1982
024-SPACE from revgiblet          receives 846-CASHS from TumbleSteak        and sends to 436-ROLLT from anomander64
025-BANGA from Unhalfbricking                 does not trade
026-DREDD from Unhalfbricking                 does not trade
027-START from Unhalfbricking                 does not trade
028-TIMBK from Unhalfbricking     receives 870-PROMO from Phil81             and sends to 542-TIKAL from Ykikamucow
029-WOLSG from Unhalfbricking     receives $20.0 from Ozludo                 and sends to 363-CADDY from damnyouhussies
031-BOOTY from revgiblet          receives 265-SABOT from earlyworm          and sends to $15.0 from cyberkev63
032-CUTTC from revgiblet          receives 283-AFTER from da pyrate          and sends to $20.0 from Croup and Vandemar
033-WARHA from srand                          does not trade
034-DIXIT from Thiessi            receives 562-ARKAD from gmcnish            and sends to 359-THURN from kathyb
035-TORRE from red turtle         receives 268-SYANY from earlyworm          and sends to 097-DUCKG from smittenkitten
036-ALHAM from red turtle                     does not trade
037-CARCC from red turtle                     does not trade
038-STSCR from red turtle         receives 530-ZERTZ from tiggers            and sends to $25.0 from dlow
039-KINGD from red turtle                     does not trade
040-CUTTC from red turtle                     does not trade
041-DUELA from red turtle                     does not trade
042-BLUCT from red turtle                     does not trade
043-MARSS from Critical Mass      receives 650-FORTA from zerogeek           and sends to 086-TALES from Dr Corey
044-PRIME from red turtle         receives 150-LOYAN from Lucky Phil         and sends to 091-RHEIN from smittenkitten
045-ROLLT from Critical Mass      receives 799-PILEX from Karlsen            and sends to 358-SUSPT from da pyrate
046-CARCH from Critical Mass                  does not trade
047-SIDSX from red turtle         receives 069-HEROM from Thiessi            and sends to 823-CONST from ausminstrel
048-NOTCK from Critical Mass                  does not trade
049-LOSTC from Critical Mass                  does not trade
050-BRKUP from Critical Mass                  does not trade
051-TOUCH from Hida Mann          receives 754-SLEUT from fFish              and sends to 291-HANSA from wilderness
052-SEVEN from Hida Mann          receives 675-MANOW from goonahboy          and sends to 119-GANGS from petegs
053-ZANZI from Hida Mann                      does not trade
054-FRANC from Hida Mann                      does not trade
056-SCENE from Hida Mann                      does not trade
057-EDISN from Hida Mann          receives 660-MDZEP from rktboy             and sends to 909-HELLS from mr_lunch
058-DINOS from Hida Mann          receives 892-ILLUM from Kerbster76         and sends to 761-TOCTC from Tezza
059-CARCA from Hida Mann                      does not trade
060-ARRGH from Hida Mann          receives 614-CTHUL from Croup and Vandemar and sends to 229-GETTY from petegs
061-BGSHT from Hida Mann                      does not trade
062-MANCA from Hida Mann                      does not trade
063-ESCAP from Hida Mann          receives 392-DRAKE from PBrennan           and sends to 105-COSMI from some_guy
064-RKPAK from Hida Mann          receives 670-BTGAL from srand              and sends to 360-CARCT from kathyb
066-WHEXP from Hida Mann          receives $12.0 from Jagged Tooth Grin      and sends to 447-PROPH from Patriachakai
067-CTHUL from Hida Mann                      does not trade
069-HEROM from Thiessi            receives 954-ATARI from mr_lunch           and sends to 047-SIDSX from red turtle
071-CATAN from Unhalfbricking                 does not trade
072-CHAOS from Hida Mann          receives 603-APPLE from actionman          and sends to 110-PILEA from some_guy
073-CATAN from Unhalfbricking                 does not trade
074-CATAN from Unhalfbricking                 does not trade
075-RAILW from Hida Mann                      does not trade
076-RFSEC from Unhalfbricking                 does not trade
077-RIPPA from Unhalfbricking                 does not trade
078-BIGEX from Unhalfbricking                 does not trade
079-BANGA from Unhalfbricking                 does not trade
080-RUNEB from Unhalfbricking                 does not trade
081-SHERW from Moose_Head         receives 348-ORIGO from aaronseeber        and sends to 997-LOTFR from Hida Mann
082-DOUBL from Unhalfbricking                 does not trade
083-KENSI from Unhalfbricking     receives $15.0 from cyberkev63             and sends to 146-TURNT from thepackrat
084-TURRI from Unhalfbricking     receives $15.0 from cyberkev63             and sends to 732-HMEXP from Mariana
085-STONE from Dr Corey           receives 667-THUND from rktboy             and sends to 577-TOBAG from Tyndal
086-TALES from Dr Corey           receives 043-MARSS from Critical Mass      and sends to 355-TRIBU from TorbenVang
087-ADVEN from Dr Corey           receives 136-OZOOL from smittenkitten      and sends to 631-IMPER from MrBaggy
088-HELLA from Dr Corey           receives 448-SIDSX from Patriachakai       and sends to 799-PILEX from Karlsen
089-KHETL from Dr Corey                       does not trade
090-CCARD from smittenkitten      receives $35.0 from anomander64            and sends to 635-PFLOR from MrBaggy
091-RHEIN from smittenkitten      receives 044-PRIME from red turtle         and sends to 196-DOMIN from prd1982
092-EAGLE from smittenkitten      receives $40.0 from tiggers                and sends to 168-AADAY from snog
093-TEMPS from smittenkitten      receives 651-RUNEB from zerogeek           and sends to 370-THEBE from Amiguero
094-LEODV from smittenkitten                  does not trade
095-FIVER from smittenkitten                  does not trade
096-GHEOS from smittenkitten                  does not trade
097-DUCKG from smittenkitten      receives 035-TORRE from red turtle         and sends to 362-PERRY from damnyouhussies
099-TRIUM from petegs                         does not trade
100-CIVIL from petegs             receives 359-THURN from kathyb             and sends to 858-ESSEN from Phil81
1000-WORDS from Friendless                    does not trade
1001-BKITO from nnf1                          does not trade
1002-FDMIN from nnf1              receives $30.0 from Alex Brown             and sends to 656-EATEN from rktboy
1003-REGIS from nnf1                          does not trade
1004-SUMER from nnf1                          does not trade
1005-SLAPS from nnf1              receives $18.0 from Lucky Phil             and sends to $20.0 from cyberkev63
1006-ORDER from nnf1                          does not trade
1007-RYTHM from nnf1                          does not trade
1008-CBALL from nnf1              receives $25.0 from srand                  and sends to 683-WICKE from Friendless
1009-FLIPO from nnf1                          does not trade
101-WOODN from petegs                         does not trade
1010-DWEED from nnf1              receives $10.0 from Lucky Phil             and sends to 871-ATHLE from Neil Thomson
1011-LEGGA from nnf1                          does not trade
1012-BARBA from nnf1                          does not trade
1013-TDRAG from nnf1                          does not trade
1014-CAVUM from nnf1              receives 305-ORCBB from da pyrate          and sends to 834-RUMPI from ausminstrel
1015-DQCAT from nnf1                          does not trade
1016-TALCY from nnf1                          does not trade
1017-KINGB from nnf1                          does not trade
1018-ROSES from nnf1                          does not trade
1019-TTPAG from nnf1                          does not trade
102-CLANS from smittenkitten      receives 190-EMIRA from Morka              and sends to 527-KAMAK from tiggers
1020-ASHIP from nnf1              receives $30.0 from gmcnish                and sends to 748-ARCAN from Hida Mann
1021-LABYR from nnf1                          does not trade
1022-LABYR from nnf1                          does not trade
1023-HEIML from nnf1              receives $25.0 from Damhsa_Roisin          and sends to 913-HQRWL from mr_lunch
1025-CARCI from nnf1                          does not trade
1026-CARCI from nnf1                          does not trade
1027-MOTMN from nnf1                          does not trade
1028-CCTAT from nnf1                          does not trade
1029-VOAUF from nnf1              receives $15.0 from Lucky Phil             and sends to 302-LOSTT from Amiguero
103-SHOGN from some_guy           receives 198-PWRGR from prd1982            and sends to 845-TAILS from TumbleSteak
1030-MTRAV from nnf1                          does not trade
1031-LRTCG from nnf1              receives $15.0 from Lucky Phil             and sends to 589-SWORD from Patriachakai
1032-WINGS from nnf1              receives $25.0 from dlow                   and sends to 156-REDIN from dlow
1033-MENOI from nnf1                          does not trade
1034-WAGER from nnf1                          does not trade
1035-FINCA from Aneirin           receives 539-MONTA from sysyphus           and sends to $35.0 from kathyb
1036-RFTGY from Phil81            receives 287-CHIEX from revgiblet          and sends to 662-DCWEL from zerogeek
105-COSMI from some_guy           receives 063-ESCAP from Hida Mann          and sends to 455-MARTI from Patriachakai
106-CONAN from some_guy                       does not trade
107-BATTL from some_guy           receives 230-WOWAG from petegs             and sends to 303-TALIS from Neil Thomson
108-BEOMV from some_guy                       does not trade
109-PKING from some_guy           receives 589-SWORD from Patriachakai       and sends to 608-DARKE from Patriachakai
110-PILEA from some_guy           receives 072-CHAOS from Hida Mann          and sends to 459-DEMIC from Patriachakai
111-CARDS from some_guy           receives 560-SPIGS from gmcnish            and sends to 650-FORTA from zerogeek
112-NAPOL from petegs             receives 141-WWBOM from ChrisPayne         and sends to 461-PTMAR from Patriachakai
113-XIANS from petegs                         does not trade
114-ROMML from petegs             receives 168-AADAY from snog               and sends to 702-PARAD from Amnese
115-FEDCM from petegs             receives 485-PRICO from Friendless         and sends to 891-CATSA from srand
116-CONQU from petegs                         does not trade
117-PANEF from petegs                         does not trade
118-PANBR from petegs                         does not trade
119-GANGS from petegs             receives 052-SEVEN from Hida Mann          and sends to 626-DAMAG from trif
120-BEOWF from petegs             receives 909-HELLS from mr_lunch           and sends to 564-MYKER from regor
121-CALIF from thepackrat         receives 920-FAMIL from jcbgg              and sends to 524-UBOCG from tiggers
122-GALAC from thepackrat                     does not trade
123-HERMA from smittenkitten                  does not trade
124-BURGA from thepackrat                     does not trade
125-JADEG from thepackrat         receives 885-KOSMS from Phil81             and sends to 643-TONGA from Mark_Owen_Reich
126-GENJI from thepackrat         receives 861-ULYSS from Phil81             and sends to 277-DARJE from ateh
127-OCEAN from smittenkitten      receives $25.0 from dlow                   and sends to $20.0 from Phil81
128-KRYSS from thepackrat                     does not trade
129-MIDKG from thepackrat         receives 956-BALLC from cyberkev63         and sends to 755-INTRU from Hida Mann
130-PORTO from thepackrat                     does not trade
131-MONKS from thepackrat         receives 545-BFORE from gmcnish            and sends to 496-TIMBU from Friendless
132-NOSPN from thepackrat         receives 749-LOTRS from fFish              and sends to 664-RALLY from rktboy
133-PACTY from thepackrat                     does not trade
134-PALAZ from smittenkitten                  does not trade
135-TRANS from smittenkitten      receives 989-AMBDL from ludopoly           and sends to 505-INDUS from Chuie
136-OZOOL from smittenkitten      receives 520-INKOG from tiggers            and sends to 087-ADVEN from Dr Corey
137-MYKER from smittenkitten      receives 016-KINGS from Unhalfbricking     and sends to 752-CITAD from fFish
138-DYNIT from Aneirin                        does not trade
139-CARCD from Amiguero                       does not trade
140-PANEF from ChrisPayne                     does not trade
141-WWBOM from ChrisPayne         receives 247-SOUND from petegs             and sends to 112-NAPOL from petegs
142-WWBIS from ChrisPayne                     does not trade
143-MMUSA from ChrisPayne         receives 962-BEANS from cyberkev63         and sends to 532-ATLAN from tiggers
144-BOLID from ChrisPayne         receives 890-REEFE from Phil81             and sends to 349-TRIUM from aaronseeber
145-WAYOW from petegs             receives 240-PRAAA from Amnese             and sends to $45.0 from hxbx
146-TURNT from thepackrat         receives 083-KENSI from Unhalfbricking     and sends to $15.0 from Moose_Head
147-BUURN from Amiguero                       does not trade
148-BUCCA from Amiguero           receives 524-UBOCG from tiggers            and sends to 265-SABOT from earlyworm
149-STREE from Lucky Phil                     does not trade
150-LOYAN from Lucky Phil         receives 344-AGRIC from Friendless         and sends to 044-PRIME from red turtle
151-ATLAN from dlow                           does not trade
152-CASTL from dlow                           does not trade
153-ISPYI from dlow                           does not trade
154-PARTH from dlow                           does not trade
155-RAILR from dlow                           does not trade
156-REDIN from dlow               receives 1032-WINGS from nnf1              and sends to 613-FLEET from Croup and Vandemar
158-CATAN from dlow                           does not trade
159-SHEAR from dlow               receives 171-LOTRR from snog               and sends to 757-TBGGG from Tezza
160-SUBUL from dlow                           does not trade
161-TRIBE from dlow                           does not trade
162-PIGGY from dlow                           does not trade
164-IHAVE from dlow               receives 817-ODINR from ausminstrel        and sends to 261-THUND from earlyworm
165-AAEUR from snog                           does not trade
166-MACAO from snog               receives 745-DITDK from fFish              and sends to $45.0 from hxbx
167-ARKAD from snog               receives 246-HELLE from petegs             and sends to 539-MONTA from sysyphus
168-AADAY from snog               receives 092-EAGLE from smittenkitten      and sends to 114-ROMML from petegs
169-AUSTE from snog               receives 273-FLAME from da pyrate          and sends to 273-FLAME from da pyrate
170-REBEL from snog                           does not trade
171-LOTRR from snog               receives 699-HAPPY from Amnese             and sends to 159-SHEAR from dlow
172-TALIS from Karlsen                        does not trade
173-STCAR from Karlsen            receives 811-EMPIR from Ozludo             and sends to 674-TROLL from thepackrat
174-WASHI from wilderness         receives 832-STCAT from ausminstrel        and sends to 778-AAGUA from hxbx
176-ZEERO from wilderness         receives 282-LNBUR from snog               and sends to 704-TAJMA from Amnese
177-PANZY from wilderness                     does not trade
179-EGIZA from wilderness         receives 535-SATOR from tiggers            and sends to 746-DOMIN from fFish
180-CUUBA from wilderness         receives 196-DOMIN from prd1982            and sends to 188-ASARA from Friendless
181-PIRAT from wilderness         receives 189-IGELA from Lucky Phil         and sends to 604-YSPAH from Lucky Phil
182-KAISA from wilderness                     does not trade
183-VENIC from junkmonsta         receives 291-HANSA from wilderness         and sends to 911-HERMA from jcbgg
184-ROYAL from junkmonsta                     does not trade
185-WAITA from Friendless         receives 896-NDAME from Phil81             and sends to 540-MEGAC from Ykikamucow
186-STONE from Friendless         receives 436-ROLLT from anomander64        and sends to 745-DITDK from fFish
187-PTMAR from Friendless                     does not trade
188-ASARA from Friendless         receives 180-CUUBA from wilderness         and sends to 326-MEMOR from Phil81
189-IGELA from Lucky Phil         receives 324-BBALL from Oiler              and sends to 181-PIRAT from wilderness
190-EMIRA from Morka              receives 325-AQUAR from Phil81             and sends to 102-CLANS from smittenkitten
191-BRIDG from Morka              receives 332-SJUAN from randomninja        and sends to 899-RALLY from Chuie
192-DESTI from Morka                          does not trade
194-BTCRY from prd1982                        does not trade
195-CRURX from prd1982            receives 023-MAGES from revgiblet          and sends to 735-LARGE from snog
196-DOMIN from prd1982            receives 091-RHEIN from smittenkitten      and sends to 180-CUUBA from wilderness
197-DITDK from prd1982            receives 586-SUNDA from Patriachakai       and sends to 930-MONKY from mr_lunch
198-PWRGR from prd1982            receives $45.0 from Ozludo                 and sends to 103-SHOGN from some_guy
200-MOBTY from prd1982                        does not trade
201-ARKAD from Scholle                        does not trade
202-BOLID from Scholle                        does not trade
203-CCNOR from Scholle            receives $25.0 from cyberkev63             and sends to 817-ODINR from ausminstrel
204-KLEIN from Scholle                        does not trade
205-FAUST from Scholle                        does not trade
206-DLORD from Scholle            receives 631-IMPER from MrBaggy            and sends to 432-HEROS from intheclear
207-EKETO from Scholle                        does not trade
210-FAUNA from Scholle                        does not trade
212-WASTE from Scholle                        does not trade
214-KEYTH from Scholle                        does not trade
216-LONDN from Scholle            receives $50.0 from Croup and Vandemar     and sends to $50.0 from Peptis
217-MUMOR from Scholle                        does not trade
218-NEULD from Scholle                        does not trade
219-PACKS from Scholle            receives 823-CONST from ausminstrel        and sends to $40.0 from red turtle
220-PCOVE from Scholle            receives $50.0 from Peptis                 and sends to 443-HACIE from Ozludo
221-STRUG from Scholle                        does not trade
222-RAILR from Scholle                        does not trade
223-WASWR from Scholle                        does not trade
225-UBOCG from Scholle                        does not trade
227-MYTHO from da pyrate          receives 783-TEAST from Karlsen            and sends to $15.0 from cyberkev63
228-JOHNY from da pyrate                      does not trade
229-GETTY from petegs             receives 060-ARRGH from Hida Mann          and sends to 698-LEODV from Amnese
230-WOWAG from petegs             receives 931-VAULT from Tyndal             and sends to 107-BATTL from some_guy
232-KINGS from petegs                         does not trade
233-GRANT from da pyrate                      does not trade
234-DROID from Amnese                         does not trade
235-BLUGR from Amnese                         does not trade
236-ELFLD from Amnese                         does not trade
237-BULGE from Amnese                         does not trade
239-LEMIN from Amnese             receives 349-TRIUM from aaronseeber        and sends to 404-LUPUS from PBrennan
240-PRAAA from Amnese             receives 830-TANNH from ausminstrel        and sends to 145-WAYOW from petegs
241-VICTO from Amnese                         does not trade
242-PHANT from wilderness         receives 902-KBURG from tiggers            and sends to 316-STRUG from squire
243-CCEUR from wilderness         receives 821-ASTRA from ausminstrel        and sends to 287-CHIEX from revgiblet
244-MIDWY from wilderness         receives 534-ROYAL from tiggers            and sends to 305-ORCBB from da pyrate
246-HELLE from petegs             receives 455-MARTI from Patriachakai       and sends to 167-ARKAD from snog
247-SOUND from petegs             receives 736-RENAI from snog               and sends to 141-WWBOM from ChrisPayne
248-CRWLR from petegs             receives 613-FLEET from Croup and Vandemar and sends to 321-HOUSE from sbszine
249-WACKY from red turtle                     does not trade
250-COSMI from red turtle                     does not trade
251-SHEAR from red turtle         receives $25.0 from cyberkev63             and sends to 008-TWIST from Thiessi
252-RUSEB from red turtle                     does not trade
254-FAMIL from TorbenVang         receives 559-CHANG from gmcnish            and sends to $25.0 from Damhsa_Roisin
255-NANUK from TorbenVang                     does not trade
256-SMILY from TorbenVang         receives 354-HERAZ from aaronseeber        and sends to 669-DCJOU from zerogeek
257-TRIUM from TorbenVang                     does not trade
258-SYLLA from TorbenVang         receives 905-PRESI from Thiessi            and sends to 351-STBAR from aaronseeber
259-JUSTI from TorbenVang                     does not trade
260-DUELA from TorbenVang                     does not trade
261-THUND from earlyworm          receives 164-IHAVE from dlow               and sends to 740-RUNEA from fFish
262-HEBRU from earlyworm                      does not trade
263-KILLA from earlyworm                      does not trade
264-RAPID from earlyworm                      does not trade
265-SABOT from earlyworm          receives 148-BUCCA from Amiguero           and sends to 031-BOOTY from revgiblet
266-MOVIE from earlyworm                      does not trade
267-MINDT from earlyworm                      does not trade
268-SYANY from earlyworm          receives 303-TALIS from Neil Thomson       and sends to 035-TORRE from red turtle
269-FACTC from earlyworm                      does not trade
270-SHTBX from earlyworm                      does not trade
